,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10
Gene_1,11.964691855978616,7.861393349503794,7.268514535642031,10.513147690828912,12.194689697855631,,14.807641983846155,11.848297385848634,9.80931901484361,8.921175181941505
Gene_2,8.431780161508694,12.290497073840417,9.385722446796244,5.596778966095684,8.980442553304314,12.379954057320358,6.824917304535,6.754517561474925,,10.31827587096866
Gene_3,11.344009585513211,13.494317940777895,12.244553248606353,11.110235106775828,12.224433825702215,8.229589138531782,8.61788655622314,7.282632308789556,7.937140463888293,11.309761238544878
Gene_4,5.921049399450752,9.337011726795282,,9.936850976503063,9.25830290295828,8.122612229724652,9.263513069628083,,14.441600182038796,10.018366758843365
Gene_5,11.239529517921111,6.156183950792958,8.17285481820321,9.148262119536318,13.66309157883366,7.504553653965067,9.830342642627043,14.85559785610705,10.194851192598094,11.128945257629677
Gene_6,6.206286659903237,,11.030601284109274,10.450680064664649,8.427638337743083,,9.170222110247016,11.813007657927967,13.754568417951749,10.104223374780112
Gene_7,11.693137829622723,10.85936552562213,11.249035020955999,11.746890509878249,13.423424376202572,5.831949883324388,12.636828414433381,7.43666374536874,6.942229605787709,
Gene_8,5.9571251661238716,13.853268262751396,,12.234163581899548,5.1612920669501685,10.944318794450425,10.567851923942888,6.5895964414472274,6.530705151247731,11.95529528770911
Gene_9,8.187664263818764,11.919702955318197,10.543832497177721,8.889505741231446,14.251324896139861,13.416699969127162,8.573975666831762,5.435914637990406,8.047680734110974,8.98185681917981
Gene_10,12.049588304513621,14.953584820340174,8.559148657174596,12.625478137854337,10.931769165622212,,6.511274523480802,8.988762927261565,7.408558977236245,8.43456014048325
Gene_11,10.131281541990022,11.666245501640716,6.059084850568138,6.308949506640808,8.21980606468308,11.615643366662438,13.46506225270722,10.532573447967135,13.544524875245047,8.848378112757612
Gene_12,8.167878971183796,8.542646755916785,6.710818292050991,13.291126345018904,8.386708459143266,10.523700752940732,10.78551468108833,10.215330593973324,5.026880645743207,14.8834541928282
Gene_13,14.053415756616099,7.076358611963245,,10.200101530724835,14.019113726606706,14.836308849117232,7.5754206415408305,10.643590429247817,13.06968684137179,8.943700539527748
Gene_14,12.310730358445571,6.610690144292148,11.006985678335898,13.658644583032647,14.835216092035555,5.793657903780157,9.283472747009492,7.045428595464277,9.506364905187347,10.47763572628854
Gene_15,5.933267103698208,7.968607754806794,14.275842401521475,10.690037314301954,9.574119975236119,12.535259907981146,,5.485790328442688,12.08697395442746,13.392433478050837
Gene_16,6.659378842069539,12.809979379999573,,8.064697533295572,11.65261465349683,6.113921716077158,11.648724488032943,13.878567926762226,11.963112682354064,9.40327876665409
Gene_17,9.382143843772248,12.650960952393065,10.656420012258828,5.849041631918176,10.826710878614046,,8.3706638344761,,12.507170003431678,10.740638251499645
Gene_18,,,13.593890756806115,13.21504113200558,14.098716596102088,6.2863119750938,5.817800870939852,6.384155727815898,8.993787101028001,9.24306861080992
Gene_19,10.622183787309057,6.22243549632505,7.013995013813709,,9.679875740567494,13.079382094836102,,10.515927259824055,14.319321480766781,10.821754591458701
Gene_20,7.060957274452742,12.177575622795576,,11.683839472594599,5.2931972289377125,11.359003593513561,5.32197934937924,12.44780655141766,9.72913002238455,6.217543554730537
Gene_21,10.426359257885059,5.667744432250047,11.533648713530408,14.960863273678255,12.693973370739624,10.737741136588244,6.026352592107958,11.998340747729147,11.611678673279311,5.490971306227763
Gene_22,,10.187165908905051,9.258676941999191,12.881871736014656,9.11569223208837,9.810262755051536,6.816288426738247,8.213188995064286,13.455329965625687,6.8690374892671535
Gene_23,9.17291060903344,14.890345073952995,7.365998117055193,14.16832332938829,14.18397467805633,5.912963422032018,9.63652724885516,10.02216335322787,8.136689500521275,5.47339537237737
Gene_24,7.416856372453978,5.955296415553609,7.382499057124118,13.077910862901561,13.949782878860116,5.432228920796468,,14.805821985942876,10.395048225537353,11.263093617098562
Gene_25,5.055454084069045,9.849094434425593,14.883285346223875,8.751855274827982,5.970381586388612,,14.630044659922582,8.418306135650164,12.989227332150131,12.98846331213062
Gene_26,7.082482967389367,9.433677018012117,12.156012751543049,9.105197854139279,6.910069553704211,14.674943068064184,11.507503664762934,13.654598515228994,5.252423577996437,7.669058147911347
Gene_27,10.02071100326743,5.6744863513005175,14.930332610947918,7.364623961980289,8.74292182345448,7.140119149083462,6.054458661054508,7.324797856042357,8.006101355032047,11.344422678994391
Gene_28,7.812347814529085,8.622767609765763,5.059428437235298,,10.338859816982946,6.620158370505309,10.97433108360375,7.931524686271794,11.320504948017279,5.261966052508438
Gene_29,13.875934604677749,5.161186304233739,6.269580310359614,12.771624615706022,5.458952322021706,12.109986935955101,14.71046140510129,13.716829331423073,12.101616513206984,
Gene_30,9.298133378865819,13.728789143218073,8.559576679736146,14.297636529038467,6.487776562421036,14.400290149282736,13.327161972832126,13.46054838196464,6.239230099239443,10.96486898341737
Gene_31,5.1639248087593135,12.211843660506068,5.07737514125904,5.848222774452337,7.254984104500236,13.751245338732247,8.635763179876134,10.399599352125584,10.681032138189785,7.254633603059599
Gene_32,10.721467679844611,11.609517950296032,7.982453933173295,9.18626858980026,9.5308892454613,14.323506615420815,10.874937474795024,14.482523716181412,10.560347537651468,10.00561420849101
Gene_33,5.035322109662483,9.808890438749621,,6.983656890267191,5.520911343894989,9.067788934738685,8.72396480594112,13.571530578712437,5.266111155599596,14.201492297590049
Gene_34,,14.042259940642177,11.075290708206389,13.119533124361244,8.355438735392863,8.495662280275598,8.898742303282924,,8.692911744286478,7.422198064922672
